circuit_index,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0171,1.0,0.0,0.0,1.0
3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2225,0.7775,0.0,0.487
4,1.0,0.0,0.0,0.5917,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0649,1.0,0.0,0.0,1.0
5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3254,0.6746,0.0,0.7309,0.2722,0.7278,0.0,0.6144
6,1.0,0.0,0.0,0.8288,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0092,1.0,0.0,0.0,1.0
7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0364,0.0,0.0,1.0
8,1.0,0.0,0.0,0.2453,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0266,1.0,0.0,0.0,1.0
9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0494,0.0,0.0,1.0,0.0406,0.0,0.0,1.0
10,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0203,0.2221,0.7779,0.0,0.465
11,1.0,0.0,0.0,0.5941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0008,1.0,0.0,0.0,1.0
12,1.0,0.0,0.0,0.5888,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0629,0.2191,0.7809,0.0,0.4942
13,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3362,0.0392,0.0,0.0118,0.2833,0.7167,0.0,0.6169
14,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3405,0.6595,0.0,0.7486,0.0303,0.9697,0.0,0.1573
15,1.0,0.0,0.0,0.5972,0.0,0.0,0.0,0.0,0.3324,0.1061,0.0,0.0373,0.2801,0.7199,0.0,0.6146
16,1.0,0.0,0.0,0.6269,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17,1.0,0.0,0.0,0.8266,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0064,0.2189,0.7811,0.0,0.4703
18,1.0,0.0,0.0,0.4998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0002,1.0,0.0,0.0,1.0
