circuit_idx,n_samples,n_phase_types,dominant_type_freq_pct,canonical_hier_freq_pct,non_canon_stable_freq_pct,n_phase_types_canon,dominant_n_stable,dominant_n_semi,dominant_n_unstable
204,100000,342,38.1000,0.1560,99.8440,12,2,10,5
205,100000,64,62.5540,1.7350,98.2650,11,2,9,3
206,100000,155,46.8420,0.1340,99.8660,11,2,9,4
207,100000,426,27.3640,0.1870,99.8130,12,2,11,4
208,100000,566,22.5120,0.0140,99.9860,3,2,10,6
209,100000,318,28.0060,0.1770,99.8230,11,2,11,4
210,100000,149,39.8890,0.0030,99.9970,2,2,10,5
211,100000,34,48.5950,0.0130,99.9870,3,2,8,4
212,100000,34,77.5570,0.0030,99.9970,2,2,8,3
213,100000,288,22.4930,0.0000,100.0000,0,2,10,5
214,100000,141,40.2440,0.0000,100.0000,0,2,9,5
215,100000,106,41.8990,0.0010,99.9990,1,2,9,4
216,100000,70,61.7200,0.0120,99.9880,4,2,9,3
217,100000,165,48.1660,0.0010,99.9990,1,2,10,3
218,100000,43,56.6970,0.0140,99.9860,4,2,9,3
219,100000,296,26.6530,0.0030,99.9970,1,2,11,5
220,100000,780,20.3690,0.0100,99.9900,6,2,11,7
221,100000,283,16.0290,0.5050,99.4950,16,2,9,9
222,100000,341,11.5020,0.0080,99.9920,3,2,10,8
223,100000,172,41.4930,0.1390,99.8610,10,3,10,5
224,100000,790,10.6450,0.0080,99.9920,4,2,11,7
225,100000,276,22.7460,0.1720,99.8280,13,2,10,6
226,100000,384,20.2310,0.0070,99.9930,3,2,10,6
227,100000,871,16.8430,0.0080,99.9920,3,2,11,7
228,100000,271,16.6980,0.0000,100.0000,0,2,11,8
229,100000,286,31.0640,0.0010,99.9990,1,2,11,5
230,100000,643,18.5300,0.0000,100.0000,0,2,12,7
231,100000,304,26.2690,0.0020,99.9980,1,2,11,5
232,100000,424,22.2070,0.0000,100.0000,0,2,11,5
233,100000,469,23.1940,0.0090,99.9910,3,2,10,6
234,100000,257,39.2620,0.1600,99.8400,14,2,10,5
235,100000,1096,17.3780,0.0050,99.9950,3,2,11,6
236,100000,342,30.7100,0.2150,99.7850,15,2,11,4
237,100000,563,23.7390,0.0060,99.9940,3,2,10,5
238,100000,125,40.6080,0.0000,100.0000,0,2,10,5
239,100000,549,18.5030,0.0000,100.0000,0,2,11,6
240,100000,214,24.4230,0.0000,100.0000,0,2,10,5
241,100000,149,41.9730,0.0000,100.0000,0,2,9,4
242,100000,289,34.8000,0.0000,100.0000,0,2,11,4
243,100000,61,63.0780,0.0110,99.9890,4,2,9,3
244,100000,132,49.1640,0.0030,99.9970,1,2,10,3
245,100000,396,27.5860,0.0000,100.0000,0,2,11,4
246,100000,452,25.7470,0.0000,100.0000,0,2,11,5
247,100000,302,27.9930,0.0000,100.0000,0,2,11,4
248,100000,585,13.7230,0.0070,99.9930,2,2,11,7
249,100000,688,14.9110,0.0000,100.0000,0,2,12,6
250,100000,798,20.0490,0.0110,99.9890,3,2,11,6
251,100000,435,20.0500,0.0000,100.0000,0,2,11,6
252,100000,224,35.9050,0.0010,99.9990,1,2,11,4
253,100000,841,15.4350,0.0000,100.0000,0,2,12,5
254,100000,296,31.3350,0.0000,100.0000,0,2,11,4
255,100000,450,26.5610,0.0010,99.9990,1,2,11,4
256,100000,667,17.9330,0.0000,100.0000,0,2,12,5
