circuit_idx,src,tgt,n_src_samples,n_edge_samples,confidence,dominant_type,hamming
21,1100,1110,200000,197361,0.986805,boundary_analytic,1
21,1100,1101,200000,182326,0.91163,boundary_analytic,1
22,1000,0000,200000,200000,1.0,boundary_analytic,1
22,0010,0000,200000,200000,1.0,boundary_analytic,1
22,0010,0011,200000,200000,1.0,boundary_analytic,1
22,0011,1011,200000,152479,0.762395,boundary_analytic,1
22,1100,1110,200000,197361,0.986805,boundary_analytic,1
23,1000,0000,200000,200000,1.0,boundary_analytic,1
23,0010,0000,200000,200000,1.0,boundary_analytic,1
23,0010,0011,200000,200000,1.0,boundary_analytic,1
23,1100,1110,200000,197361,0.986805,boundary_analytic,1
23,1100,1101,200000,177644,0.88822,boundary_analytic,1
23,1000,1001,200000,173389,0.866945,boundary_analytic,1
24,1000,0000,200000,200000,1.0,boundary_analytic,1
24,0010,0000,200000,200000,1.0,boundary_analytic,1
24,0010,0011,200000,200000,1.0,boundary_analytic,1
24,0011,0111,200000,133241,0.666205,boundary_analytic,1
24,1100,1110,200000,197361,0.986805,boundary_analytic,1
25,1000,0000,200000,200000,1.0,boundary_analytic,1
25,0010,0000,200000,200000,1.0,boundary_analytic,1
25,0010,0011,200000,200000,1.0,boundary_analytic,1
25,0011,1011,200000,180109,0.900545,boundary_analytic,1
25,0011,0111,200000,41596,0.20798,boundary_analytic,1
26,1000,0000,200000,200000,1.0,boundary_analytic,1
26,0010,0000,200000,200000,1.0,boundary_analytic,1
26,0010,0011,200000,200000,1.0,boundary_analytic,1
26,0011,1011,200000,180109,0.900545,boundary_analytic,1
26,1100,1101,200000,182326,0.91163,boundary_analytic,1
27,1000,0000,200000,200000,1.0,boundary_analytic,1
27,0010,0000,200000,200000,1.0,boundary_analytic,1
27,0010,0011,200000,200000,1.0,boundary_analytic,1
27,0011,1011,200000,197661,0.988305,boundary_analytic,1
28,1000,0000,200000,200000,1.0,boundary_analytic,1
28,0010,0000,200000,200000,1.0,boundary_analytic,1
28,0010,0011,200000,200000,1.0,boundary_analytic,1
28,0011,1011,200000,180109,0.900545,boundary_analytic,1
28,1100,1101,200000,177644,0.88822,boundary_analytic,1
28,1000,1001,200000,173389,0.866945,boundary_analytic,1
29,1000,0000,200000,200000,1.0,boundary_analytic,1
29,0010,0000,200000,200000,1.0,boundary_analytic,1
29,0010,0011,200000,200000,1.0,boundary_analytic,1
29,0011,1011,200000,180109,0.900545,boundary_analytic,1
29,0011,0111,200000,133241,0.666205,boundary_analytic,1
30,1000,0000,200000,200000,1.0,boundary_analytic,1
30,0010,0000,200000,200000,1.0,boundary_analytic,1
30,0010,0011,200000,200000,1.0,boundary_analytic,1
30,0011,1011,200000,180109,0.900545,boundary_analytic,1
30,1100,1110,200000,197361,0.986805,boundary_analytic,1
31,1000,0000,200000,200000,1.0,boundary_analytic,1
31,0010,0000,200000,200000,1.0,boundary_analytic,1
31,0010,0011,200000,200000,1.0,boundary_analytic,1
31,0011,0111,200000,41596,0.20798,boundary_analytic,1
31,1100,1110,200000,196625,0.983125,boundary_analytic,1
31,1000,1010,200000,195957,0.979785,boundary_analytic,1
32,1000,0000,200000,200000,1.0,boundary_analytic,1
32,0010,0000,200000,200000,1.0,boundary_analytic,1
32,0010,0011,200000,200000,1.0,boundary_analytic,1
32,1100,1110,200000,196625,0.983125,boundary_analytic,1
32,1100,1101,200000,182326,0.91163,boundary_analytic,1
32,1000,1010,200000,195957,0.979785,boundary_analytic,1
33,1000,0000,200000,200000,1.0,boundary_analytic,1
33,0010,0000,200000,200000,1.0,boundary_analytic,1
33,0010,0011,200000,200000,1.0,boundary_analytic,1
33,0011,1011,200000,152479,0.762395,boundary_analytic,1
33,1100,1110,200000,196625,0.983125,boundary_analytic,1
33,1000,1010,200000,195957,0.979785,boundary_analytic,1
34,1000,0000,200000,200000,1.0,boundary_analytic,1
34,0010,0000,200000,200000,1.0,boundary_analytic,1
34,0010,0011,200000,200000,1.0,boundary_analytic,1
34,1100,1110,200000,196625,0.983125,boundary_analytic,1
34,1100,1101,200000,177644,0.88822,boundary_analytic,1
34,1000,1010,200000,195957,0.979785,boundary_analytic,1
34,1000,1001,200000,173389,0.866945,boundary_analytic,1
35,1000,0000,200000,200000,1.0,boundary_analytic,1
35,0010,0000,200000,200000,1.0,boundary_analytic,1
35,0010,0011,200000,200000,1.0,boundary_analytic,1
35,0011,0111,200000,133241,0.666205,boundary_analytic,1
35,1100,1110,200000,196625,0.983125,boundary_analytic,1
35,1000,1010,200000,195957,0.979785,boundary_analytic,1
36,1000,0000,200000,200000,1.0,boundary_analytic,1
36,0010,0000,200000,200000,1.0,boundary_analytic,1
36,0010,0011,200000,200000,1.0,boundary_analytic,1
36,1100,1110,200000,199974,0.99987,boundary_analytic,1
36,1000,1010,200000,195957,0.979785,boundary_analytic,1
37,1000,0000,200000,200000,1.0,boundary_analytic,1
37,0010,0000,200000,200000,1.0,boundary_analytic,1
37,0010,0011,200000,200000,1.0,boundary_analytic,1
37,0011,1011,200000,180109,0.900545,boundary_analytic,1
37,1100,1110,200000,196625,0.983125,boundary_analytic,1
37,1000,1010,200000,195957,0.979785,boundary_analytic,1
38,1000,0000,200000,200000,1.0,boundary_analytic,1
38,0010,0000,200000,200000,1.0,boundary_analytic,1
38,0010,0011,200000,200000,1.0,boundary_analytic,1
38,0011,1011,200000,152479,0.762395,boundary_analytic,1
38,0011,0111,200000,41596,0.20798,boundary_analytic,1
38,1100,1101,200000,182326,0.91163,boundary_analytic,1
39,1000,0000,200000,200000,1.0,boundary_analytic,1
39,0010,0000,200000,200000,1.0,boundary_analytic,1
39,0010,0011,200000,200000,1.0,boundary_analytic,1
39,0011,0111,200000,41596,0.20798,boundary_analytic,1
39,1100,1101,200000,199052,0.99526,boundary_analytic,1
39,1000,1001,200000,173389,0.866945,boundary_analytic,1
40,1000,0000,200000,200000,1.0,boundary_analytic,1
40,0010,0000,200000,200000,1.0,boundary_analytic,1
40,0010,0011,200000,200000,1.0,boundary_analytic,1
40,0011,1011,200000,152479,0.762395,boundary_analytic,1
40,0011,0111,200000,41596,0.20798,boundary_analytic,1
40,1100,1101,200000,177644,0.88822,boundary_analytic,1
40,1000,1001,200000,173389,0.866945,boundary_analytic,1
41,1000,0000,200000,200000,1.0,boundary_analytic,1
41,0010,0000,200000,200000,1.0,boundary_analytic,1
41,0010,0011,200000,200000,1.0,boundary_analytic,1
41,0011,1011,200000,152479,0.762395,boundary_analytic,1
41,1100,1101,200000,199052,0.99526,boundary_analytic,1
41,1000,1001,200000,173389,0.866945,boundary_analytic,1
42,1000,0000,200000,200000,1.0,boundary_analytic,1
42,0010,0000,200000,200000,1.0,boundary_analytic,1
42,0010,0011,200000,200000,1.0,boundary_analytic,1
42,0011,0111,200000,173626,0.86813,boundary_analytic,1
42,1100,1101,200000,182326,0.91163,boundary_analytic,1
43,1000,0000,200000,200000,1.0,boundary_analytic,1
43,0010,0000,200000,200000,1.0,boundary_analytic,1
43,0010,0011,200000,200000,1.0,boundary_analytic,1
43,0011,1011,200000,152479,0.762395,boundary_analytic,1
43,0011,0111,200000,173626,0.86813,boundary_analytic,1
44,1000,0000,200000,200000,1.0,boundary_analytic,1
44,0010,0000,200000,200000,1.0,boundary_analytic,1
44,0010,0011,200000,200000,1.0,boundary_analytic,1
44,0011,1011,200000,152479,0.762395,boundary_analytic,1
44,0011,0111,200000,133241,0.666205,boundary_analytic,1
44,1100,1101,200000,182326,0.91163,boundary_analytic,1
45,1000,0000,200000,200000,1.0,boundary_analytic,1
45,0010,0000,200000,200000,1.0,boundary_analytic,1
45,0010,0011,200000,200000,1.0,boundary_analytic,1
45,0011,0111,200000,173626,0.86813,boundary_analytic,1
45,1100,1101,200000,177644,0.88822,boundary_analytic,1
45,1000,1001,200000,173389,0.866945,boundary_analytic,1
46,1000,0000,200000,200000,1.0,boundary_analytic,1
46,0010,0000,200000,200000,1.0,boundary_analytic,1
46,0010,0011,200000,200000,1.0,boundary_analytic,1
46,0011,0111,200000,133241,0.666205,boundary_analytic,1
46,1100,1101,200000,199052,0.99526,boundary_analytic,1
46,1000,1001,200000,173389,0.866945,boundary_analytic,1
47,1000,0000,200000,200000,1.0,boundary_analytic,1
47,0010,0000,200000,200000,1.0,boundary_analytic,1
47,0010,0011,200000,200000,1.0,boundary_analytic,1
47,0011,1011,200000,152479,0.762395,boundary_analytic,1
47,0011,0111,200000,133241,0.666205,boundary_analytic,1
47,1100,1101,200000,177644,0.88822,boundary_analytic,1
47,1000,1001,200000,173389,0.866945,boundary_analytic,1
48,1000,0000,200000,200000,1.0,boundary_analytic,1
48,0010,0000,200000,200000,1.0,boundary_analytic,1
48,0010,0011,200000,200000,1.0,boundary_analytic,1
48,0011,0111,200000,41596,0.20798,boundary_analytic,1
48,1100,1110,200000,197361,0.986805,boundary_analytic,1
48,1100,1101,200000,182326,0.91163,boundary_analytic,1
49,1000,0000,200000,200000,1.0,boundary_analytic,1
49,0010,0000,200000,200000,1.0,boundary_analytic,1
49,0010,0011,200000,200000,1.0,boundary_analytic,1
49,0011,1011,200000,152479,0.762395,boundary_analytic,1
49,0011,0111,200000,41596,0.20798,boundary_analytic,1
49,1100,1110,200000,197361,0.986805,boundary_analytic,1
50,1000,0000,200000,200000,1.0,boundary_analytic,1
50,0010,0000,200000,200000,1.0,boundary_analytic,1
50,0010,0011,200000,200000,1.0,boundary_analytic,1
50,0011,1011,200000,152479,0.762395,boundary_analytic,1
50,1100,1110,200000,197361,0.986805,boundary_analytic,1
50,1100,1101,200000,182326,0.91163,boundary_analytic,1
51,1000,0000,200000,200000,1.0,boundary_analytic,1
51,0010,0000,200000,200000,1.0,boundary_analytic,1
51,0010,0011,200000,200000,1.0,boundary_analytic,1
51,0011,0111,200000,41596,0.20798,boundary_analytic,1
51,1100,1110,200000,197361,0.986805,boundary_analytic,1
51,1100,1101,200000,177644,0.88822,boundary_analytic,1
51,1000,1001,200000,173389,0.866945,boundary_analytic,1
52,1000,0000,200000,200000,1.0,boundary_analytic,1
52,0010,0000,200000,200000,1.0,boundary_analytic,1
52,0010,0011,200000,200000,1.0,boundary_analytic,1
52,1100,1110,200000,197361,0.986805,boundary_analytic,1
