circuit_idx,n_samples,n_phase_types,dominant_type_freq_pct,canonical_hier_freq_pct,n_phase_types_canon
166,100000,469,31.3860,0.1120,17
167,100000,1200,15.9170,0.0080,5
168,100000,608,27.4450,0.1800,23
169,100000,764,24.6200,0.0090,5
170,100000,423,9.7680,0.4880,18
171,100000,222,44.1960,8.8130,50
172,100000,881,11.4450,0.4850,28
173,100000,307,21.4630,11.1190,62
174,100000,439,15.6510,0.5190,22
175,100000,200,34.8410,0.1240,12
176,100000,943,10.3730,0.0040,4
177,100000,328,13.5150,0.1570,16
178,100000,202,22.7040,0.0110,4
179,100000,415,37.4970,0.1180,15
180,100000,91,66.4150,1.3300,21
181,100000,197,51.3750,0.1310,14
182,100000,657,16.7710,0.1460,16
183,100000,613,17.1680,0.0030,3
184,100000,445,17.8360,0.1360,13
185,100000,710,13.3450,0.0060,4
186,100000,686,32.7300,0.1590,27
187,100000,1567,16.5180,0.0100,2
188,100000,702,25.9830,0.1730,20
189,100000,1091,18.5740,0.0070,4
190,100000,188,29.0620,0.0010,1
191,100000,660,10.1950,0.0000,0
192,100000,301,20.1890,0.0020,2
193,100000,195,35.4630,0.0000,0
194,100000,457,38.3070,0.0010,1
195,100000,171,51.8150,0.0120,5
196,100000,300,40.1150,0.0010,1
197,100000,635,31.7180,0.0010,1
198,100000,667,28.1200,0.0000,0
199,100000,618,23.6040,0.0010,1
200,100000,291,31.4370,0.1560,14
201,100000,1104,15.0160,0.0080,4
202,100000,387,22.7090,0.1860,13
203,100000,259,41.1880,0.0080,2
204,100000,540,38.0950,0.1560,16
205,100000,125,62.5540,1.7350,27
206,100000,297,43.8820,0.1340,16
207,100000,713,27.3640,0.1870,17
208,100000,918,21.1400,0.0140,3
209,100000,557,27.9780,0.1770,19
210,100000,296,34.8130,0.0030,2
211,100000,72,48.5950,0.0130,5
212,100000,64,77.5570,0.0030,2
213,100000,546,22.4930,0.0000,0
214,100000,253,40.2440,0.0000,0
215,100000,214,41.8990,0.0010,1
216,100000,142,61.1550,0.0120,4
217,100000,292,47.2350,0.0010,1
218,100000,110,56.6970,0.0140,4
219,100000,592,26.6530,0.0030,1
220,100000,1509,16.8420,0.0100,6
221,100000,726,14.1620,0.5050,26
222,100000,745,10.7260,0.0080,4
223,100000,369,38.1100,0.1390,15
224,100000,1474,9.7400,0.0080,4
225,100000,513,19.7700,0.1720,21
226,100000,731,17.3610,0.0070,4
227,100000,1741,16.8400,0.0080,3
228,100000,680,14.4990,0.0000,0
229,100000,608,29.1400,0.0010,1
230,100000,1421,17.5580,0.0000,0
231,100000,765,26.0230,0.0020,1
232,100000,923,21.8070,0.0000,0
233,100000,907,16.1760,0.0090,5
234,100000,498,39.2580,0.1600,18
235,100000,1808,17.3750,0.0050,3
236,100000,586,30.7100,0.2150,20
237,100000,1010,22.2470,0.0060,4
238,100000,262,35.2230,0.0000,0
239,100000,1091,16.2790,0.0000,0
240,100000,435,24.4230,0.0000,0
241,100000,271,41.9730,0.0000,0
242,100000,507,34.3600,0.0000,0
243,100000,146,62.4540,0.0110,5
244,100000,268,48.1810,0.0030,1
245,100000,810,27.3460,0.0000,0
246,100000,857,25.2870,0.0000,0
247,100000,600,27.9930,0.0000,0
248,100000,1223,11.8710,0.0070,2
249,100000,1618,14.6990,0.0000,0
250,100000,1451,20.0480,0.0110,5
251,100000,915,17.4490,0.0000,0
252,100000,474,35.4470,0.0010,1
253,100000,1642,15.2000,0.0000,0
254,100000,629,31.0530,0.0000,0
255,100000,908,26.0590,0.0010,1
256,100000,1395,17.6970,0.0000,0
