circuit_idx,src,tgt,n_src_samples,n_edge_samples,confidence,dominant_type,hamming
174,1010,0000,4905,4767,0.9719,bistable,2
174,1010,1000,4905,138,0.0281,bistable,1
175,1010,0010,129,129,1.0,bistable,1
175,1010,0000,129,123,0.9535,bistable,2
175,1010,1000,129,6,0.0465,bistable,1
176,1010,0010,4908,4908,1.0,bistable,1
176,1010,0000,4908,4758,0.9694,bistable,2
176,1010,1011,4908,1112,0.2266,invasion,1
176,1010,1000,4908,150,0.0306,bistable,1
176,1011,0011,4,4,1.0,bistable,1
176,1011,0001,4,2,0.5,bistable,2
176,1011,1001,4,2,0.5,bistable,1
177,1010,0010,4909,4909,1.0,bistable,1
177,1010,0000,4909,4762,0.9701,bistable,2
177,1010,1011,4909,1115,0.2271,invasion,1
177,1010,1000,4909,147,0.0299,bistable,1
177,1011,0011,1,1,1.0,bistable,1
177,1011,0001,1,1,1.0,bistable,2
178,1010,0010,4906,4906,1.0,bistable,1
178,1010,1000,4906,160,0.0326,bistable,1
178,1010,1011,4906,1114,0.2271,invasion,1
178,1010,0000,4906,4746,0.9674,bistable,2
179,1010,0010,119,119,1.0,bistable,1
179,1010,0000,119,116,0.9748,bistable,2
179,1010,1000,119,3,0.0252,bistable,1
180,1010,0010,249,249,1.0,bistable,1
180,1010,0000,249,242,0.9719,bistable,2
180,1010,1000,249,7,0.0281,bistable,1
181,1010,0010,319,319,1.0,bistable,1
181,1010,0000,319,308,0.9655,bistable,2
181,1010,1000,319,11,0.0345,bistable,1
182,1010,0010,4899,4899,1.0,bistable,1
182,1010,1011,4899,1109,0.2264,invasion,1
182,1010,0000,4899,4760,0.9716,bistable,2
182,1010,1000,4899,139,0.0284,bistable,1
182,1011,0011,3,3,1.0,bistable,1
182,1011,0001,3,3,1.0,bistable,2
183,1010,0010,4898,4898,1.0,bistable,1
183,1010,0000,4898,4766,0.9731,bistable,2
183,1010,1000,4898,132,0.0269,bistable,1
183,1010,1011,4898,1066,0.2176,invasion,1
183,1011,0011,3,3,1.0,bistable,1
183,1011,0001,3,2,0.6667,bistable,2
183,1011,1001,3,1,0.3333,bistable,1
184,1010,0010,4902,4902,1.0,bistable,1
184,1010,0000,4902,4752,0.9694,bistable,2
184,1010,1011,4902,1065,0.2173,invasion,1
184,1010,1000,4902,150,0.0306,bistable,1
184,1001,0001,1,1,1.0,bistable,1
185,1010,1011,33,19,0.5758,invasion,1
185,1010,0010,33,33,1.0,bistable,1
185,1010,1000,33,32,0.9697,bistable,1
186,1010,0010,30,30,1.0,bistable,1
186,1010,1000,30,28,0.9333,bistable,1
187,1010,1011,19,11,0.5789,invasion,1
187,1010,0010,19,19,1.0,bistable,1
187,1010,1000,19,16,0.8421,bistable,1
187,1001,0001,1,1,1.0,bistable,1
188,1010,0010,11,11,1.0,bistable,1
188,1010,1000,11,11,1.0,bistable,1
188,1010,1011,11,4,0.3636,invasion,1
189,1010,0010,28,28,1.0,bistable,1
189,1010,1011,28,14,0.5,invasion,1
189,1010,1000,28,25,0.8929,bistable,1
190,1010,0010,26,26,1.0,bistable,1
190,1010,1000,26,22,0.8462,bistable,1
191,1010,0010,471,476,1.0106,bistable,1
191,1010,1011,471,209,0.4437,invasion,1
191,1010,1000,471,428,0.9087,bistable,1
192,1010,0010,18,18,1.0,bistable,1
192,1010,1000,18,16,0.8889,bistable,1
192,1010,1011,18,10,0.5556,invasion,1
193,1010,0010,17,17,1.0,bistable,1
193,1010,1011,17,10,0.5882,invasion,1
193,1010,1000,17,16,0.9412,bistable,1
194,1010,0010,458,459,1.0022,bistable,1
194,1010,1000,458,425,0.9279,bistable,1
195,1010,0010,17,17,1.0,bistable,1
195,1010,1000,17,16,0.9412,bistable,1
196,1010,0010,18,18,1.0,bistable,1
196,1010,1000,18,17,0.9444,bistable,1
197,1010,0010,18,18,1.0,bistable,1
197,1010,1000,18,18,1.0,bistable,1
197,1010,1011,18,9,0.5,invasion,1
197,1011,0011,1,1,1.0,bistable,1
197,1011,1001,1,1,1.0,bistable,1
198,1010,1011,8,5,0.625,invasion,1
198,1010,0010,8,8,1.0,bistable,1
198,1010,1000,8,6,0.75,bistable,1
199,1010,0010,448,450,1.0045,bistable,1
199,1010,1000,448,410,0.9152,bistable,1
199,1010,1011,448,197,0.4397,invasion,1
199,1001,1011,1,2,2.0,invasion,1
199,1001,0001,1,2,2.0,bistable,1
200,1010,0010,354,354,1.0,bistable,1
200,1010,0000,354,313,0.8842,bistable,2
200,1010,1000,354,20,0.0565,bistable,1
201,1010,0010,397,399,1.005,bistable,1
201,1010,0000,397,323,0.8136,bistable,2
201,1010,1000,397,41,0.1033,bistable,1
201,1010,1011,397,124,0.3123,invasion,1
201,1001,0001,1,1,1.0,bistable,1
201,1001,1011,1,1,1.0,invasion,1
202,1010,0010,402,402,1.0,bistable,1
202,1010,0000,402,343,0.8532,bistable,2
202,1010,1011,402,109,0.2711,invasion,1
202,1010,1000,402,30,0.0746,bistable,1
203,1010,0010,345,349,1.0116,bistable,1
203,1010,0000,345,292,0.8464,bistable,2
203,1010,1011,345,111,0.3217,invasion,1
